1024,48:NVIDIA GeForce RTX 2080 SUPER, NVIDIA_instance_access: atomic_fa_relaxed
(32, 1, 296432)
(32, 2, 296923)
(32, 4, 296801)
(32, 8, 297022)
(32, 16, 296888)
(32, 32, 296878)
(32, 64, 296686)
(32, 128, 296690)
(32, 256, 296874)
(32, 512, 294453)
(32, 1024, 294615)
(32, 2048, 293986)
(32, 4096, 294187)
(64, 1, 289083)
(64, 2, 294451)
(64, 4, 294710)
(64, 8, 294556)
(64, 16, 294732)
(64, 32, 294484)
(64, 64, 294652)
(64, 128, 294553)
(64, 256, 294630)
(64, 512, 292659)
(64, 1024, 292845)
(64, 2048, 291333)
(64, 4096, 294111)
(96, 1, 294566)
(96, 2, 294253)
(96, 4, 294439)
(96, 8, 293843)
(96, 16, 293499)
(96, 32, 292772)
(96, 64, 294257)
(96, 128, 293905)
(96, 256, 294190)
(96, 512, 293045)
(96, 1024, 293384)
(96, 2048, 287784)
(96, 4096, 288274)
(128, 1, 294589)
(128, 2, 294681)
(128, 4, 294588)
(128, 8, 284092)
(128, 16, 294085)
(128, 32, 294684)
(128, 64, 294385)
(128, 128, 294634)
(128, 256, 294359)
(128, 512, 294456)
(128, 1024, 291190)
(128, 2048, 287939)
(128, 4096, 286734)
(160, 1, 290493)
(160, 2, 293024)
(160, 4, 293030)
(160, 8, 280562)
(160, 16, 280416)
(160, 32, 293312)
(160, 64, 290855)
(160, 128, 293610)
(160, 256, 292643)
(160, 512, 292939)
(160, 1024, 290532)
(160, 2048, 292174)
(160, 4096, 290908)
(192, 1, 293656)
(192, 2, 292624)
(192, 4, 293499)
(192, 8, 294314)
(192, 16, 294103)
(192, 32, 293681)
(192, 64, 294013)
(192, 128, 292286)
(192, 256, 293342)
(192, 512, 292565)
(192, 1024, 280275)
(192, 2048, 288663)
(192, 4096, 281172)
(224, 1, 287240)
(224, 2, 291952)
(224, 4, 288876)
(224, 8, 284858)
(224, 16, 287552)
(224, 32, 292882)
(224, 64, 288692)
(224, 128, 291709)
(224, 256, 291613)
(224, 512, 285636)
(224, 1024, 290714)
(224, 2048, 289233)
(224, 4096, 282496)
(256, 1, 294383)
(256, 2, 294402)
(256, 4, 294030)
(256, 8, 274995)
(256, 16, 283345)
(256, 32, 294284)
(256, 64, 294274)
(256, 128, 294465)
(256, 256, 294466)
(256, 512, 294517)
(256, 1024, 291122)
(256, 2048, 283148)
(256, 4096, 282251)
