1024,48:NVIDIA GeForce RTX 2080 SUPER, contiguous_access: atomic_cas_succeed_no_store
(1, 1, 149679)
(1, 2, 73001.3)
(1, 4, 36930.5)
(1, 8, 17895.7)
(1, 16, 23288.9)
(1, 32, 2162.63)
(1, 64, 1533.88)
(1, 128, 1420)
(1, 256, 993.988)
(1, 512, 1008.9)
(1, 1024, 1030.67)
(2, 1, 145387)
(2, 2, 72203.7)
(2, 4, 34227.4)
(2, 8, 17785.1)
(2, 16, 23092.8)
(2, 32, 23022.7)
(2, 64, 19118.5)
(2, 128, 15501.4)
(2, 256, 13678)
(2, 512, 14544.5)
(2, 1024, 10700.5)
(4, 1, 107160)
(4, 2, 69160.5)
(4, 4, 34189.8)
(4, 8, 15204.9)
(4, 16, 23067.3)
(4, 32, 23023.3)
(4, 64, 23022.9)
(4, 128, 23025)
(4, 256, 23024)
(4, 512, 23023)
(4, 1024, 23022.4)
(8, 1, 55338.7)
(8, 2, 52122.7)
(8, 4, 32428.9)
(8, 8, 15354.3)
(8, 16, 23024.9)
(8, 32, 23016.8)
(8, 64, 23013.4)
(8, 128, 23023.2)
(8, 256, 23022.9)
(8, 512, 23023.1)
(8, 1024, 23023.5)
(16, 1, 19240.1)
(16, 2, 25898.9)
(16, 4, 24342.7)
(16, 8, 14615.1)
(16, 16, 22944.5)
(16, 32, 23023.2)
(16, 64, 23023.4)
(16, 128, 23025.6)
(16, 256, 23025.3)
(16, 512, 23023.3)
(16, 1024, 23023.5)
(32, 1, 20698.5)
(32, 2, 21747.3)
(32, 4, 21781.6)
(32, 8, 22001.8)
(32, 16, 22955.3)
(32, 32, 22951.9)
(32, 64, 22926.6)
(32, 128, 22905.2)
(32, 256, 22947.1)
(32, 512, 22953.3)
(32, 1024, 22941.3)
(64, 1, 9027.25)
(64, 2, 20698)
(64, 4, 21752.7)
(64, 8, 21729.6)
(64, 16, 22878.9)
(64, 32, 22953)
(64, 64, 22940.5)
(64, 128, 22884.3)
(64, 256, 22896)
(64, 512, 22935.9)
(64, 1024, 22933.2)
(128, 1, 4672.17)
(128, 2, 8999.84)
(128, 4, 20699.2)
(128, 8, 21743.9)
(128, 16, 22891.6)
(128, 32, 22902.3)
(128, 64, 22900.2)
(128, 128, 22892.4)
(128, 256, 22864.1)
(128, 512, 22862.5)
(128, 1024, 22893.5)
(256, 1, 2399.09)
(256, 2, 4711.46)
(256, 4, 8855.27)
(256, 8, 20887.9)
(256, 16, 22601.6)
(256, 32, 22816.5)
(256, 64, 22861.6)
(256, 128, 22737.1)
(256, 256, 22832.5)
(256, 512, 22791)
(256, 1024, 22828.1)
(512, 1, 2391.5)
(512, 2, 2424.2)
(512, 4, 4744.35)
(512, 8, 8976.31)
(512, 16, 21168.5)
(512, 32, 22600.1)
(512, 64, 22639.7)
(512, 128, 22598.4)
(512, 256, 22569.4)
(512, 512, 22571.7)
(512, 1024, 22667)
(1024, 1, 1642.92)
(1024, 2, 2420.03)
(1024, 4, 2421.7)
(1024, 8, 4822.64)
(1024, 16, 8933.71)
(1024, 32, 21212.9)
(1024, 64, 22772.8)
(1024, 128, 22756.6)
(1024, 256, 22728.2)
(1024, 512, 22754.4)
(1024, 1024, 22154.8)
