1024,46:NVIDIA GeForce RTX 4070, NVIDIA_instance_access: atomic_fa_relaxed
(32, 1, 234753)
(32, 2, 217345)
(32, 4, 219188)
(32, 8, 220906)
(32, 16, 209374)
(32, 32, 210131)
(32, 64, 217737)
(32, 128, 206675)
(32, 256, 200124)
(32, 512, 218310)
(32, 1024, 190631)
(32, 2048, 175128)
(32, 4096, 192013)
(64, 1, 215744)
(64, 2, 222000)
(64, 4, 207992)
(64, 8, 214432)
(64, 16, 185516)
(64, 32, 198226)
(64, 64, 195967)
(64, 128, 198896)
(64, 256, 205908)
(64, 512, 183324)
(64, 1024, 201506)
(64, 2048, 195268)
(64, 4096, 185333)
(96, 1, 218274)
(96, 2, 220097)
(96, 4, 213753)
(96, 8, 216603)
(96, 16, 204159)
(96, 32, 193145)
(96, 64, 195213)
(96, 128, 201152)
(96, 256, 185872)
(96, 512, 194147)
(96, 1024, 189912)
(96, 2048, 191883)
(96, 4096, 169755)
(128, 1, 234355)
(128, 2, 211791)
(128, 4, 212266)
(128, 8, 215902)
(128, 16, 181702)
(128, 32, 198840)
(128, 64, 199401)
(128, 128, 210680)
(128, 256, 187751)
(128, 512, 199455)
(128, 1024, 219170)
(128, 2048, 191071)
(128, 4096, 191072)
(160, 1, 191421)
(160, 2, 216217)
(160, 4, 200034)
(160, 8, 207210)
(160, 16, 187629)
(160, 32, 191874)
(160, 64, 190261)
(160, 128, 199873)
(160, 256, 206622)
(160, 512, 197896)
(160, 1024, 199728)
(160, 2048, 207208)
(160, 4096, 184312)
(192, 1, 195362)
(192, 2, 197765)
(192, 4, 195019)
(192, 8, 208547)
(192, 16, 180939)
(192, 32, 196553)
(192, 64, 188299)
(192, 128, 188742)
(192, 256, 195423)
(192, 512, 182020)
(192, 1024, 187122)
(192, 2048, 194985)
(192, 4096, 173360)
(224, 1, 225211)
(224, 2, 210184)
(224, 4, 200508)
(224, 8, 192187)
(224, 16, 186393)
(224, 32, 193559)
(224, 64, 189415)
(224, 128, 191292)
(224, 256, 203886)
(224, 512, 196471)
(224, 1024, 185288)
(224, 2048, 195070)
(224, 4096, 189226)
(256, 1, 194666)
(256, 2, 215740)
(256, 4, 190369)
(256, 8, 202403)
(256, 16, 174279)
(256, 32, 182668)
(256, 64, 194958)
(256, 128, 193910)
(256, 256, 186803)
(256, 512, 163893)
(256, 1024, 177823)
(256, 2048, 192160)
(256, 4096, 195427)
