1024,168:AMD Radeon RX 7900 XT, contiguous_access: atomic_cas_succeed_no_store
(1, 1, 370870)
(1, 2, 184330)
(1, 4, 94577.2)
(1, 8, 2820.02)
(1, 16, 325.428)
(1, 32, 209.39)
(1, 64, 208.515)
(1, 128, 111.623)
(1, 256, 119.324)
(1, 512, 118.891)
(1, 1024, 113.678)
(2, 1, 351956)
(2, 2, 172486)
(2, 4, 91620.9)
(2, 8, 46126.3)
(2, 16, 4767.9)
(2, 32, 628.059)
(2, 64, 627.981)
(2, 128, 247.214)
(2, 256, 224.827)
(2, 512, 239.733)
(2, 1024, 239.253)
(4, 1, 138865)
(4, 2, 159706)
(4, 4, 83880)
(4, 8, 44137.1)
(4, 16, 46124.8)
(4, 32, 15416)
(4, 64, 18897.3)
(4, 128, 735.394)
(4, 256, 482.74)
(4, 512, 489.762)
(4, 1024, 516.083)
(8, 1, 47413.7)
(8, 2, 67102.2)
(8, 4, 77458)
(8, 8, 39397.2)
(8, 16, 43579.2)
(8, 32, 46096.8)
(8, 64, 47004.6)
(8, 128, 23888.2)
(8, 256, 1448.3)
(8, 512, 1403.55)
(8, 1024, 1404.51)
(16, 1, 24535.5)
(16, 2, 23645.1)
(16, 4, 30691.8)
(16, 8, 31940.5)
(16, 16, 39204.9)
(16, 32, 43954.3)
(16, 64, 41658.1)
(16, 128, 22631.3)
(16, 256, 11562.4)
(16, 512, 11572.2)
(16, 1024, 6358.58)
(32, 1, 25663.4)
(32, 2, 24616.9)
(32, 4, 23390.1)
(32, 8, 29488.8)
(32, 16, 31045.4)
(32, 32, 38872.6)
(32, 64, 38157.3)
(32, 128, 21803.4)
(32, 256, 11274.3)
(32, 512, 11307.3)
(32, 1024, 11430.6)
(64, 1, 25378.8)
(64, 2, 25642.6)
(64, 4, 24282.8)
(64, 8, 23383.8)
(64, 16, 29960.9)
(64, 32, 31115.5)
(64, 64, 30058.9)
(64, 128, 19940.6)
(64, 256, 11175.9)
(64, 512, 11210.5)
(64, 1024, 11334.2)
(128, 1, 24336.8)
(128, 2, 24843.9)
(128, 4, 25150.2)
(128, 8, 24165.9)
(128, 16, 23621.9)
(128, 32, 30143.4)
(128, 64, 28410.6)
(128, 128, 18759)
(128, 256, 11029.3)
(128, 512, 11235.1)
(128, 1024, 11234.3)
(256, 1, 17709.3)
(256, 2, 24439.5)
(256, 4, 24967)
(256, 8, 25239.5)
(256, 16, 24903.6)
(256, 32, 23334.8)
(256, 64, 28303.4)
(256, 128, 19298.8)
(256, 256, 11112.7)
(256, 512, 11050.7)
(256, 1024, 11272.1)
(512, 1, 9387.41)
(512, 2, 17836)
(512, 4, 24762.4)
(512, 8, 24699.8)
(512, 16, 25533.5)
(512, 32, 24216)
(512, 64, 22966.7)
(512, 128, 19449.9)
(512, 256, 11186.3)
(512, 512, 11372.6)
(512, 1024, 11124)
(1024, 1, 6786.12)
(1024, 2, 9263.88)
(1024, 4, 17087.8)
(1024, 8, 24447.3)
(1024, 16, 24112.2)
(1024, 32, 25482.6)
(1024, 64, 24495)
(1024, 128, 14073.9)
(1024, 256, 11407.9)
(1024, 512, 11392.5)
(1024, 1024, 11279.8)
