1024,168:AMD Radeon RX 7900 XT, contiguous_access: atomic_fa_relaxed
(1, 1, 720055)
(1, 2, 388432)
(1, 4, 196015)
(1, 8, 1876.39)
(1, 16, 335.143)
(1, 32, 214.135)
(1, 64, 216.52)
(1, 128, 119.838)
(1, 256, 119.492)
(1, 512, 112.73)
(1, 1024, 113.749)
(2, 1, 664100)
(2, 2, 359457)
(2, 4, 188537)
(2, 8, 94750.6)
(2, 16, 5921.14)
(2, 32, 613.797)
(2, 64, 573.416)
(2, 128, 254.886)
(2, 256, 240.687)
(2, 512, 239.134)
(2, 1024, 229.399)
(4, 1, 331976)
(4, 2, 350653)
(4, 4, 175310)
(4, 8, 91644.2)
(4, 16, 47401.1)
(4, 32, 9557.37)
(4, 64, 10274.7)
(4, 128, 683.49)
(4, 256, 510.508)
(4, 512, 552.739)
(4, 1024, 538.929)
(8, 1, 88443.6)
(8, 2, 146673)
(8, 4, 166783)
(8, 8, 84870.9)
(8, 16, 43907.6)
(8, 32, 47673.4)
(8, 64, 48388.2)
(8, 128, 12176.1)
(8, 256, 1301.24)
(8, 512, 1278.12)
(8, 1024, 1366.06)
(16, 1, 56684.2)
(16, 2, 44157.5)
(16, 4, 65590.6)
(16, 8, 79149.9)
(16, 16, 41062.3)
(16, 32, 44423)
(16, 64, 46489.1)
(16, 128, 22948.4)
(16, 256, 11682.5)
(16, 512, 11064)
(16, 1024, 8978.68)
(32, 1, 37238.3)
(32, 2, 28438.2)
(32, 4, 22351.9)
(32, 8, 31036.9)
(32, 16, 35710.6)
(32, 32, 40195.5)
(32, 64, 41731.2)
(32, 128, 22483)
(32, 256, 11597.8)
(32, 512, 11566.3)
(32, 1024, 11450.4)
(64, 1, 31669.4)
(64, 2, 37051)
(64, 4, 28918.7)
(64, 8, 22272.6)
(64, 16, 31293.2)
(64, 32, 35703.4)
(64, 64, 35912.9)
(64, 128, 21705.5)
(64, 256, 11643)
(64, 512, 11608.3)
(64, 1024, 11560.4)
(128, 1, 30062.7)
(128, 2, 32888.5)
(128, 4, 37657.4)
(128, 8, 28063)
(128, 16, 22332.1)
(128, 32, 31966.3)
(128, 64, 34728.8)
(128, 128, 21472.7)
(128, 256, 11862.4)
(128, 512, 11651.1)
(128, 1024, 11740.7)
(256, 1, 19851.2)
(256, 2, 29415)
(256, 4, 33227.7)
(256, 8, 36537.7)
(256, 16, 28305.3)
(256, 32, 22526.4)
(256, 64, 31823.1)
(256, 128, 20880.5)
(256, 256, 12366.4)
(256, 512, 11831.1)
(256, 1024, 11829.3)
(512, 1, 11255.8)
(512, 2, 20582.4)
(512, 4, 29752.5)
(512, 8, 33687.3)
(512, 16, 36053.6)
(512, 32, 28780.9)
(512, 64, 22434.3)
(512, 128, 18909.7)
(512, 256, 12423.1)
(512, 512, 12363)
(512, 1024, 11998.1)
(1024, 1, 6754.1)
(1024, 2, 10760.2)
(1024, 4, 20625)
(1024, 8, 28822.2)
(1024, 16, 32974.5)
(1024, 32, 37271.4)
(1024, 64, 28321.5)
(1024, 128, 14478.1)
(1024, 256, 12698)
(1024, 512, 12478.6)
(1024, 1024, 12923.3)
