1024,168:AMD Radeon RX 7900 XT, contiguous_access: atomic_fetch_min
(1, 1, 697046)
(1, 2, 384186)
(1, 4, 195874)
(1, 8, 1642.13)
(1, 16, 333.72)
(1, 32, 210.591)
(1, 64, 217.033)
(1, 128, 119.655)
(1, 256, 119.277)
(1, 512, 112.636)
(1, 1024, 113.609)
(2, 1, 648766)
(2, 2, 357056)
(2, 4, 188464)
(2, 8, 94699.3)
(2, 16, 4302.66)
(2, 32, 602.051)
(2, 64, 573.573)
(2, 128, 254.124)
(2, 256, 240.464)
(2, 512, 238.801)
(2, 1024, 230.954)
(4, 1, 320582)
(4, 2, 348647)
(4, 4, 175184)
(4, 8, 91372.2)
(4, 16, 47132.6)
(4, 32, 11355.6)
(4, 64, 10781.2)
(4, 128, 675.417)
(4, 256, 511.241)
(4, 512, 549.356)
(4, 1024, 540.709)
(8, 1, 88582.3)
(8, 2, 143733)
(8, 4, 166262)
(8, 8, 85185.8)
(8, 16, 43901.1)
(8, 32, 47676.8)
(8, 64, 48389.5)
(8, 128, 19415)
(8, 256, 1314.21)
(8, 512, 1281.96)
(8, 1024, 1368.99)
(16, 1, 55979.2)
(16, 2, 44305.4)
(16, 4, 65284)
(16, 8, 78800.1)
(16, 16, 41155.3)
(16, 32, 44563.3)
(16, 64, 46607.5)
(16, 128, 22987.2)
(16, 256, 11685.3)
(16, 512, 9802.39)
(16, 1024, 7040.81)
(32, 1, 37150.8)
(32, 2, 28636)
(32, 4, 22390.1)
(32, 8, 31662)
(32, 16, 35694.7)
(32, 32, 40018.1)
(32, 64, 41919)
(32, 128, 22453)
(32, 256, 11595.1)
(32, 512, 11570.1)
(32, 1024, 11445.3)
(64, 1, 31528.8)
(64, 2, 37189.1)
(64, 4, 29219.6)
(64, 8, 22337.6)
(64, 16, 31506.6)
(64, 32, 35640.5)
(64, 64, 35904)
(64, 128, 21540.8)
(64, 256, 11622.6)
(64, 512, 11603.2)
(64, 1024, 11585.6)
(128, 1, 30008.1)
(128, 2, 33938.5)
(128, 4, 37434.3)
(128, 8, 28460.2)
(128, 16, 22456.2)
(128, 32, 31083)
(128, 64, 34917.1)
(128, 128, 21470.2)
(128, 256, 11895.6)
(128, 512, 11665.4)
(128, 1024, 11742.7)
(256, 1, 19864.3)
(256, 2, 29378)
(256, 4, 33814.9)
(256, 8, 36544.4)
(256, 16, 28349)
(256, 32, 22453.7)
(256, 64, 31269.6)
(256, 128, 20817.5)
(256, 256, 12247.2)
(256, 512, 11830.6)
(256, 1024, 11817.3)
(512, 1, 11970.4)
(512, 2, 19833.6)
(512, 4, 30480.9)
(512, 8, 32905.8)
(512, 16, 35289.8)
(512, 32, 29155.8)
(512, 64, 22262.6)
(512, 128, 18826.3)
(512, 256, 12420.7)
(512, 512, 12399.3)
(512, 1024, 12034.9)
(1024, 1, 6944.28)
(1024, 2, 10772.7)
(1024, 4, 20462.3)
(1024, 8, 28885.5)
(1024, 16, 33498.4)
(1024, 32, 37158.4)
(1024, 64, 28649.8)
(1024, 128, 14484.4)
(1024, 256, 12501.8)
(1024, 512, 12707.7)
(1024, 1024, 12548.3)
