256,168:AMD Radeon RX 7900 XT, contiguous_access: local_atomic_fa_relaxed
(1, 1, 1.6042e+06)
(1, 2, 1.44133e+06)
(1, 4, 1.58518e+06)
(1, 8, 1.0097e+06)
(2, 1, 1.40449e+06)
(2, 2, 1.52134e+06)
(2, 4, 1.23737e+06)
(2, 8, 673958)
(4, 1, 1.15171e+06)
(4, 2, 1.15164e+06)
(4, 4, 1.15234e+06)
(4, 8, 577821)
(8, 1, 538834)
(8, 2, 539134)
(8, 4, 539090)
(8, 8, 538856)
(16, 1, 261002)
(16, 2, 260958)
(16, 4, 260952)
(16, 8, 260927)
(32, 1, 128436)
(32, 2, 128450)
(32, 4, 128397)
(32, 8, 128405)
(64, 1, 127436)
(64, 2, 127388)
(64, 4, 127405)
(64, 8, 127411)
(128, 1, 126369)
(128, 2, 126362)
(128, 4, 126414)
(128, 8, 126413)
(256, 1, 126416)
(256, 2, 126354)
(256, 4, 126357)
(256, 8, 126316)
