1024,1:Apple M3 Pro, branched: atomic_fa_relaxed
(1, 1, 7336.69)
(1, 2, 3561.25)
(1, 4, 1828.05)
(1, 8, 919.453)
(1, 16, 918.818)
(1, 32, 919.802)
(1, 64, 919.108)
(1, 128, 917.984)
(1, 256, 917.681)
(1, 512, 916.747)
(1, 1024, 918.226)
(2, 1, 7208.06)
(2, 2, 3625.76)
(2, 4, 1827.01)
(2, 8, 919.902)
(2, 16, 919.953)
(2, 32, 919.294)
(2, 64, 919.952)
(2, 128, 919.529)
(2, 256, 919.873)
(2, 512, 919.212)
(2, 1024, 917.324)
(4, 1, 7190.39)
(4, 2, 3616.81)
(4, 4, 1833.69)
(4, 8, 919.446)
(4, 16, 918.825)
(4, 32, 919.185)
(4, 64, 918.788)
(4, 128, 919.641)
(4, 256, 919.876)
(4, 512, 919.85)
(4, 1024, 919.339)
(8, 1, 3581.91)
(8, 2, 3534.34)
(8, 4, 1748.67)
(8, 8, 916.289)
(8, 16, 919.523)
(8, 32, 918.049)
(8, 64, 919.831)
(8, 128, 919.593)
(8, 256, 919.145)
(8, 512, 919.66)
(8, 1024, 919.684)
(16, 1, 1330.28)
(16, 2, 1706.03)
(16, 4, 1525.46)
(16, 8, 846.558)
(16, 16, 907.813)
(16, 32, 913.002)
(16, 64, 916.804)
(16, 128, 904.038)
(16, 256, 915.049)
(16, 512, 889.202)
(16, 1024, 911.582)
(32, 1, 368.361)
(32, 2, 522.049)
(32, 4, 660.488)
(32, 8, 756.659)
(32, 16, 761.188)
(32, 32, 753.416)
(32, 64, 753.892)
(32, 128, 770.353)
(32, 256, 724.591)
(32, 512, 753.765)
(32, 1024, 760.573)
(64, 1, 307.742)
(64, 2, 369.27)
(64, 4, 520.232)
(64, 8, 677.048)
(64, 16, 737.083)
(64, 32, 718.626)
(64, 64, 721.822)
(64, 128, 724.938)
(64, 256, 662.726)
(64, 512, 714.747)
(64, 1024, 740.411)
(128, 1, 304.33)
(128, 2, 306.159)
(128, 4, 370.165)
(128, 8, 520.292)
(128, 16, 660.912)
(128, 32, 685.489)
(128, 64, 643.865)
(128, 128, 593.035)
(128, 256, 635.49)
(128, 512, 629.134)
(128, 1024, 692.411)
(256, 1, 304.163)
(256, 2, 303.183)
(256, 4, 307.119)
(256, 8, 369.032)
(256, 16, 504.131)
(256, 32, 542.798)
(256, 64, 550.831)
(256, 128, 421.247)
(256, 256, 440.899)
(256, 512, 537.216)
(256, 1024, 556.395)
(512, 1, 304.507)
(512, 2, 305.248)
(512, 4, 303.779)
(512, 8, 308.162)
(512, 16, 366.02)
(512, 32, 362.276)
(512, 64, 392.893)
(512, 128, 372.332)
(512, 256, 321.477)
(512, 512, 386.967)
(512, 1024, 392.579)
(1024, 1, 303.366)
(1024, 2, 304.044)
(1024, 4, 303.551)
(1024, 8, 304.696)
(1024, 16, 302.178)
(1024, 32, 304.549)
(1024, 64, 302.332)
(1024, 128, 314.47)
(1024, 256, 310.188)
(1024, 512, 303.261)
(1024, 1024, 302.747)
