1024,1:Apple M3 Pro, contiguous_access: atomic_fa_relaxed
(1, 1, 6557.46)
(1, 2, 3577.02)
(1, 4, 1830.41)
(1, 8, 918.69)
(1, 16, 918.834)
(1, 32, 918.919)
(1, 64, 918.901)
(1, 128, 918.451)
(1, 256, 918.135)
(1, 512, 915.853)
(1, 1024, 917.963)
(2, 1, 6168.31)
(2, 2, 3598.62)
(2, 4, 1815.9)
(2, 8, 918.031)
(2, 16, 918.77)
(2, 32, 918.541)
(2, 64, 918.777)
(2, 128, 918.605)
(2, 256, 918.387)
(2, 512, 918.066)
(2, 1024, 916.019)
(4, 1, 6307.23)
(4, 2, 3590.16)
(4, 4, 1831.12)
(4, 8, 917.887)
(4, 16, 918.596)
(4, 32, 918.579)
(4, 64, 918.306)
(4, 128, 918.871)
(4, 256, 918.881)
(4, 512, 918.604)
(4, 1024, 917.733)
(8, 1, 3594.44)
(8, 2, 3549.49)
(8, 4, 1768.73)
(8, 8, 916.429)
(8, 16, 916.586)
(8, 32, 868.388)
(8, 64, 919.02)
(8, 128, 917.913)
(8, 256, 918.164)
(8, 512, 918.723)
(8, 1024, 918.664)
(16, 1, 1669.81)
(16, 2, 1799.25)
(16, 4, 1493.53)
(16, 8, 843.97)
(16, 16, 906.475)
(16, 32, 913.243)
(16, 64, 916.36)
(16, 128, 905.289)
(16, 256, 913.698)
(16, 512, 902.125)
(16, 1024, 911.409)
(32, 1, 421.36)
(32, 2, 629.57)
(32, 4, 703.72)
(32, 8, 761.508)
(32, 16, 753.749)
(32, 32, 743.478)
(32, 64, 743.698)
(32, 128, 760.552)
(32, 256, 721.219)
(32, 512, 745.561)
(32, 1024, 747.586)
(64, 1, 310.195)
(64, 2, 421.43)
(64, 4, 628.486)
(64, 8, 734.987)
(64, 16, 743.058)
(64, 32, 684.185)
(64, 64, 729.229)
(64, 128, 733.513)
(64, 256, 660.532)
(64, 512, 720.516)
(64, 1024, 744.025)
(128, 1, 308.623)
(128, 2, 310.167)
(128, 4, 421.3)
(128, 8, 628.312)
(128, 16, 709.056)
(128, 32, 711.667)
(128, 64, 660.086)
(128, 128, 637.629)
(128, 256, 681.853)
(128, 512, 654.437)
(128, 1024, 715.497)
(256, 1, 308.495)
(256, 2, 308.503)
(256, 4, 310.16)
(256, 8, 421.362)
(256, 16, 619.017)
(256, 32, 630.621)
(256, 64, 629.948)
(256, 128, 449.006)
(256, 256, 518.968)
(256, 512, 613.242)
(256, 1024, 631.625)
(512, 1, 308.516)
(512, 2, 308.56)
(512, 4, 308.601)
(512, 8, 310.166)
(512, 16, 396.688)
(512, 32, 461.24)
(512, 64, 464.415)
(512, 128, 419.651)
(512, 256, 329.826)
(512, 512, 461.905)
(512, 1024, 463.523)
(1024, 1, 308.496)
(1024, 2, 308.639)
(1024, 4, 308.532)
(1024, 8, 308.56)
(1024, 16, 308.5)
(1024, 32, 308.485)
(1024, 64, 308.543)
(1024, 128, 311.636)
(1024, 256, 312.033)
(1024, 512, 308.711)
(1024, 1024, 308.35)
