1024,64:Intel(R) Arc(tm) A770 Graphics (DG2), contiguous_access: atomic_cas_succeed_no_store
(1, 1, 106990)
(1, 2, 88669.1)
(1, 4, 65234.9)
(1, 8, 33042.5)
(1, 16, 30077.4)
(1, 32, 31366.4)
(1, 64, 31525.4)
(1, 128, 31892.3)
(1, 256, 15660.7)
(1, 512, 16449.7)
(1, 1024, 16214.6)
(2, 1, 36343.3)
(2, 2, 104019)
(2, 4, 66725.8)
(2, 8, 29707)
(2, 16, 29056.8)
(2, 32, 29000.4)
(2, 64, 29403.3)
(2, 128, 29975.3)
(2, 256, 16400.1)
(2, 512, 15388.6)
(2, 1024, 16459)
(4, 1, 12400.4)
(4, 2, 35935)
(4, 4, 44615.6)
(4, 8, 26571.1)
(4, 16, 25679.5)
(4, 32, 27189.3)
(4, 64, 26654.8)
(4, 128, 27263.9)
(4, 256, 16961)
(4, 512, 16168.5)
(4, 1024, 16588.2)
(8, 1, 11487)
(8, 2, 12498.7)
(8, 4, 13795.7)
(8, 8, 18220.3)
(8, 16, 22391.7)
(8, 32, 23012.6)
(8, 64, 23088)
(8, 128, 23465.4)
(8, 256, 16956.7)
(8, 512, 16932.6)
(8, 1024, 16989)
(16, 1, 9165.93)
(16, 2, 11388.9)
(16, 4, 12378.5)
(16, 8, 13836.9)
(16, 16, 18158.2)
(16, 32, 21085.4)
(16, 64, 20970.8)
(16, 128, 21169.6)
(16, 256, 16051.4)
(16, 512, 16143)
(16, 1024, 16214.4)
(32, 1, 6763.31)
(32, 2, 9124.24)
(32, 4, 11428.1)
(32, 8, 12358.9)
(32, 16, 13834.2)
(32, 32, 14154.3)
(32, 64, 14308.4)
(32, 128, 14319.4)
(32, 256, 11525.4)
(32, 512, 11689.1)
(32, 1024, 11793.8)
(64, 1, 4329.93)
(64, 2, 6767.12)
(64, 4, 9140.71)
(64, 8, 11494.6)
(64, 16, 12507)
(64, 32, 13253.1)
(64, 64, 13616.1)
(64, 128, 13704.7)
(64, 256, 11070.7)
(64, 512, 11044.3)
(64, 1024, 10854.7)
(128, 1, 2158.48)
(128, 2, 4323.79)
(128, 4, 6767.04)
(128, 8, 9042.19)
(128, 16, 11478.1)
(128, 32, 11584.1)
(128, 64, 11843.7)
(128, 128, 11920.3)
(128, 256, 9990.19)
(128, 512, 9877.43)
(128, 1024, 9962.09)
(256, 1, 869.775)
(256, 2, 2158.18)
(256, 4, 4323.63)
(256, 8, 6768.3)
(256, 16, 9128.88)
(256, 32, 10576.6)
(256, 64, 10892.4)
(256, 128, 10661.8)
(256, 256, 8589.83)
(256, 512, 8534.58)
(256, 1024, 8539.48)
(512, 1, 471.831)
(512, 2, 871.216)
(512, 4, 2158.42)
(512, 8, 4323.37)
(512, 16, 6773.54)
(512, 32, 8496.46)
(512, 64, 6562.4)
(512, 128, 8896.28)
(512, 256, 7270.47)
(512, 512, 5649.1)
(512, 1024, 6704.87)
(1024, 1, 323.358)
(1024, 2, 470.215)
(1024, 4, 871.35)
(1024, 8, 2146.15)
(1024, 16, 4329.82)
(1024, 32, 5781.85)
(1024, 64, 5524.93)
(1024, 128, 5659.89)
(1024, 256, 5777.35)
(1024, 512, 5682.81)
(1024, 1024, 4777.45)
