1024,64:Intel(R) Arc(tm) A770 Graphics (DG2), cross_warp: atomic_fa_relaxed
(1, 1, 179942)
(1, 2, 238170)
(1, 4, 129725)
(1, 8, 64548.4)
(1, 16, 31758.7)
(1, 32, 30627.7)
(1, 64, 31605.8)
(1, 128, 27438.8)
(1, 256, 13385)
(1, 512, 16824.6)
(1, 1024, 7332.1)
(2, 1, 218217)
(2, 2, 243707)
(2, 4, 125500)
(2, 8, 64218)
(2, 16, 31601.5)
(2, 32, 31031)
(2, 64, 11297.9)
(2, 128, 27600)
(2, 256, 15239.1)
(2, 512, 16413.1)
(2, 1024, 16832.9)
(4, 1, 187155)
(4, 2, 225372)
(4, 4, 121418)
(4, 8, 64068.5)
(4, 16, 9766.32)
(4, 32, 29248)
(4, 64, 31509.5)
(4, 128, 26363.5)
(4, 256, 16727.2)
(4, 512, 13126.1)
(4, 1024, 10590.2)
(8, 1, 90975.4)
(8, 2, 213124)
(8, 4, 106805)
(8, 8, 49351.4)
(8, 16, 29361.9)
(8, 32, 30869.1)
(8, 64, 31435.4)
(8, 128, 30175.3)
(8, 256, 16989.8)
(8, 512, 15096.5)
(8, 1024, 15974.1)
(16, 1, 96040.9)
(16, 2, 190914)
(16, 4, 2645.42)
(16, 8, 29665.4)
(16, 16, 25042.7)
(16, 32, 24220)
(16, 64, 26330.7)
(16, 128, 31.5013)
(16, 256, 11165)
(16, 512, 13570.1)
(16, 1024, 15820.4)
(32, 1, 64021.4)
(32, 2, 44277.9)
(32, 4, 99726.1)
(32, 8, 13121.2)
(32, 16, 29450.6)
(32, 32, 31247.5)
(32, 64, 31378.5)
(32, 128, 31115.4)
(32, 256, 17297.3)
(32, 512, 17225.5)
(32, 1024, 17219.2)
(64, 1, 33576.8)
(64, 2, 73066.9)
(64, 4, 72031.1)
(64, 8, 4270.01)
(64, 16, 29853.9)
(64, 32, 29694.5)
(64, 64, 30935.6)
(64, 128, 30330)
(64, 256, 17744.5)
(64, 512, 17677.3)
(64, 1024, 17768.7)
(128, 1, 9932.04)
(128, 2, 35507)
(128, 4, 37180.1)
(128, 8, 30988.9)
(128, 16, 26701.2)
(128, 32, 27268.7)
(128, 64, 28020.4)
(128, 128, 26742.6)
(128, 256, 18220.8)
(128, 512, 18112.9)
(128, 1024, 18096.5)
(256, 1, 9362.27)
(256, 2, 18746.5)
(256, 4, 19067.8)
(256, 8, 11295.6)
(256, 16, 13406.7)
(256, 32, 14027.1)
(256, 64, 15921.2)
(256, 128, 17570.6)
(256, 256, 10972.2)
(256, 512, 12521.5)
(256, 1024, 20.2738)
(512, 1, 1499.93)
(512, 2, 9300)
(512, 4, 9318.32)
(512, 8, 7990.09)
(512, 16, 6746.21)
(512, 32, 13045.9)
(512, 64, 9317.45)
(512, 128, 9141.07)
(512, 256, 8210.51)
(512, 512, 8459.06)
(512, 1024, 9212.76)
(1024, 1, 3223.72)
(1024, 2, 4695.32)
(1024, 4, 4659.4)
(1024, 8, 4186.58)
(1024, 16, 2883.78)
(1024, 32, 4662.84)
(1024, 64, 6100.8)
(1024, 128, 6109.26)
(1024, 256, 6163.58)
(1024, 512, 6111.54)
(1024, 1024, 3629.41)
