1024,46:NVIDIA GeForce RTX 4070, branched: atomic_fa_relaxed
(1, 1, 978.566)
(1, 2, 978.412)
(1, 4, 531.674)
(1, 8, 285.016)
(1, 16, 290.879)
(1, 32, 286.394)
(1, 64, 285.722)
(1, 128, 285.052)
(1, 256, 283.861)
(1, 512, 275.041)
(1, 1024, 274.322)
(2, 1, 5690.08)
(2, 2, 978.564)
(2, 4, 978.536)
(2, 8, 551.851)
(2, 16, 286.721)
(2, 32, 294.686)
(2, 64, 287.526)
(2, 128, 286.943)
(2, 256, 284.112)
(2, 512, 282.7)
(2, 1024, 276.903)
(4, 1, 4471.58)
(4, 2, 978.566)
(4, 4, 978.56)
(4, 8, 797.269)
(4, 16, 357.394)
(4, 32, 433.572)
(4, 64, 436.784)
(4, 128, 440.668)
(4, 256, 425.782)
(4, 512, 400.329)
(4, 1024, 392.222)
(8, 1, 2694.38)
(8, 2, 978.568)
(8, 4, 978.568)
(8, 8, 978.554)
(8, 16, 541.801)
(8, 32, 570.669)
(8, 64, 607.306)
(8, 128, 624.505)
(8, 256, 609.845)
(8, 512, 577.288)
(8, 1024, 551.562)
(16, 1, 1332.37)
(16, 2, 889.758)
(16, 4, 889.836)
(16, 8, 889.842)
(16, 16, 667.321)
(16, 32, 667.324)
(16, 64, 662.508)
(16, 128, 667.322)
(16, 256, 667.324)
(16, 512, 667.324)
(16, 1024, 674.821)
(32, 1, 10604.1)
(32, 2, 10054.8)
(32, 4, 7632.94)
(32, 8, 6668.81)
(32, 16, 4706.25)
(32, 32, 5176.95)
(32, 64, 4876.78)
(32, 128, 5064.8)
(32, 256, 4915.28)
(32, 512, 4560.9)
(32, 1024, 4431.23)
(64, 1, 10774)
(64, 2, 10794.2)
(64, 4, 8990.58)
(64, 8, 7971.96)
(64, 16, 6460.82)
(64, 32, 6582.9)
(64, 64, 7025.01)
(64, 128, 6770.36)
(64, 256, 6536.32)
(64, 512, 6219.48)
(64, 1024, 5817.4)
(128, 1, 10794.1)
(128, 2, 10773.4)
(128, 4, 10794.6)
(128, 8, 10795.4)
(128, 16, 8835.81)
(128, 32, 8528.17)
(128, 64, 9497.99)
(128, 128, 10789.6)
(128, 256, 9741.66)
(128, 512, 9846.37)
(128, 1024, 10660.8)
(256, 1, 10796.3)
(256, 2, 10794.3)
(256, 4, 10796.6)
(256, 8, 10796.9)
(256, 16, 10148.1)
(256, 32, 10790.8)
(256, 64, 10794.8)
(256, 128, 10791.3)
(256, 256, 10783.5)
(256, 512, 10791.6)
(256, 1024, 10779.4)
(512, 1, 10795.6)
(512, 2, 10796.4)
(512, 4, 10796)
(512, 8, 10794.1)
(512, 16, 10794.2)
(512, 32, 10794.3)
(512, 64, 10794.3)
(512, 128, 10790)
(512, 256, 10794.2)
(512, 512, 10782)
(512, 1024, 10794.8)
(1024, 1, 10797.1)
(1024, 2, 10795.8)
(1024, 4, 10796.4)
(1024, 8, 10794.2)
(1024, 16, 10797.1)
(1024, 32, 10796.3)
(1024, 64, 10795.9)
(1024, 128, 10796.3)
(1024, 256, 10794.4)
(1024, 512, 10783.7)
(1024, 1024, 10795.8)
