1024,46:NVIDIA GeForce RTX 4070, contiguous_access: atomic_cas_succeed_no_store
(1, 1, 5687.6)
(1, 2, 978.53)
(1, 4, 978.497)
(1, 8, 571.927)
(1, 16, 287.237)
(1, 32, 289.929)
(1, 64, 284.089)
(1, 128, 284.748)
(1, 256, 286.258)
(1, 512, 285.315)
(1, 1024, 280.402)
(2, 1, 5689.09)
(2, 2, 978.561)
(2, 4, 978.543)
(2, 8, 724.981)
(2, 16, 365.906)
(2, 32, 407.151)
(2, 64, 394.854)
(2, 128, 421.823)
(2, 256, 397.332)
(2, 512, 397.877)
(2, 1024, 382.203)
(4, 1, 4471.77)
(4, 2, 978.557)
(4, 4, 978.495)
(4, 8, 889.802)
(4, 16, 495.238)
(4, 32, 500.334)
(4, 64, 469.895)
(4, 128, 565.741)
(4, 256, 562.347)
(4, 512, 506.883)
(4, 1024, 497.529)
(8, 1, 2677.26)
(8, 2, 978.556)
(8, 4, 978.568)
(8, 8, 899.793)
(8, 16, 674.559)
(8, 32, 623.622)
(8, 64, 632.209)
(8, 128, 671.625)
(8, 256, 667.252)
(8, 512, 645.222)
(8, 1024, 645.108)
(16, 1, 1334.65)
(16, 2, 889.832)
(16, 4, 889.848)
(16, 8, 889.839)
(16, 16, 667.318)
(16, 32, 667.323)
(16, 64, 667.314)
(16, 128, 667.307)
(16, 256, 667.323)
(16, 512, 667.326)
(16, 1024, 667.324)
(32, 1, 667.327)
(32, 2, 667.329)
(32, 4, 667.328)
(32, 8, 667.328)
(32, 16, 667.327)
(32, 32, 667.328)
(32, 64, 667.323)
(32, 128, 674.807)
(32, 256, 674.822)
(32, 512, 674.799)
(32, 1024, 674.811)
(64, 1, 674.82)
(64, 2, 674.825)
(64, 4, 674.826)
(64, 8, 674.824)
(64, 16, 674.824)
(64, 32, 674.826)
(64, 64, 674.817)
(64, 128, 674.825)
(64, 256, 674.801)
(64, 512, 674.82)
(64, 1024, 674.821)
(128, 1, 674.823)
(128, 2, 674.825)
(128, 4, 674.825)
(128, 8, 674.825)
(128, 16, 674.824)
(128, 32, 674.823)
(128, 64, 674.825)
(128, 128, 674.825)
(128, 256, 674.814)
(128, 512, 674.814)
(128, 1024, 674.823)
(256, 1, 674.816)
(256, 2, 674.813)
(256, 4, 674.806)
(256, 8, 674.826)
(256, 16, 674.822)
(256, 32, 674.825)
(256, 64, 674.825)
(256, 128, 674.824)
(256, 256, 674.82)
(256, 512, 674.826)
(256, 1024, 674.825)
(512, 1, 674.823)
(512, 2, 674.819)
(512, 4, 674.824)
(512, 8, 674.821)
(512, 16, 674.824)
(512, 32, 674.826)
(512, 64, 674.825)
(512, 128, 674.826)
(512, 256, 674.814)
(512, 512, 674.821)
(512, 1024, 674.825)
(1024, 1, 674.825)
(1024, 2, 674.81)
(1024, 4, 674.822)
(1024, 8, 674.82)
(1024, 16, 674.821)
(1024, 32, 674.825)
(1024, 64, 674.823)
(1024, 128, 674.82)
(1024, 256, 674.819)
(1024, 512, 674.824)
(1024, 1024, 674.825)
