1024,46:NVIDIA GeForce RTX 4070, contiguous_access: atomic_fa_relaxed
(1, 1, 206352)
(1, 2, 113431)
(1, 4, 60465.6)
(1, 8, 30877.3)
(1, 16, 26210.8)
(1, 32, 32331.7)
(1, 64, 33150.5)
(1, 128, 32535.1)
(1, 256, 32489.7)
(1, 512, 32484.5)
(1, 1024, 31786.7)
(2, 1, 144719)
(2, 2, 102582)
(2, 4, 56397)
(2, 8, 30101)
(2, 16, 25314)
(2, 32, 32718.5)
(2, 64, 34096)
(2, 128, 32625)
(2, 256, 33880.1)
(2, 512, 33603.1)
(2, 1024, 33395.3)
(4, 1, 107900)
(4, 2, 72209.3)
(4, 4, 51348.9)
(4, 8, 28732.9)
(4, 16, 24994.8)
(4, 32, 32842.1)
(4, 64, 34294.8)
(4, 128, 32816.3)
(4, 256, 33480.3)
(4, 512, 34019.2)
(4, 1024, 32841.1)
(8, 1, 47241.7)
(8, 2, 54006.2)
(8, 4, 36111.3)
(8, 8, 25004.8)
(8, 16, 23664.2)
(8, 32, 30787.8)
(8, 64, 34723.7)
(8, 128, 31778.1)
(8, 256, 34746.3)
(8, 512, 33424.9)
(8, 1024, 33389.3)
(16, 1, 16266.8)
(16, 2, 23616)
(16, 4, 26904.2)
(16, 8, 18079.1)
(16, 16, 20847.3)
(16, 32, 34090.5)
(16, 64, 35925.7)
(16, 128, 31826)
(16, 256, 35650.3)
(16, 512, 35622.9)
(16, 1024, 35232.3)
(32, 1, 336832)
(32, 2, 472617)
(32, 4, 489652)
(32, 8, 488464)
(32, 16, 489529)
(32, 32, 489506)
(32, 64, 489529)
(32, 128, 487053)
(32, 256, 489515)
(32, 512, 489525)
(32, 1024, 489472)
(64, 1, 221662)
(64, 2, 335526)
(64, 4, 468688)
(64, 8, 488307)
(64, 16, 489381)
(64, 32, 489393)
(64, 64, 488175)
(64, 128, 488474)
(64, 256, 487058)
(64, 512, 487042)
(64, 1024, 487045)
(128, 1, 158198)
(128, 2, 212111)
(128, 4, 335667)
(128, 8, 472963)
(128, 16, 489518)
(128, 32, 489402)
(128, 64, 488441)
(128, 128, 487043)
(128, 256, 487044)
(128, 512, 487048)
(128, 1024, 487042)
(256, 1, 97965.6)
(256, 2, 159095)
(256, 4, 213843)
(256, 8, 335929)
(256, 16, 489551)
(256, 32, 487032)
(256, 64, 487045)
(256, 128, 487057)
(256, 256, 487048)
(256, 512, 487054)
(256, 1024, 487044)
(512, 1, 86830)
(512, 2, 94040.5)
(512, 4, 155596)
(512, 8, 210588)
(512, 16, 348767)
(512, 32, 487051)
(512, 64, 487064)
(512, 128, 486995)
(512, 256, 487040)
(512, 512, 487043)
(512, 1024, 487044)
(1024, 1, 62198.3)
(1024, 2, 88247)
(1024, 4, 97587.9)
(1024, 8, 162007)
(1024, 16, 211488)
(1024, 32, 356357)
(1024, 64, 489527)
(1024, 128, 489467)
(1024, 256, 488885)
(1024, 512, 487034)
(1024, 1024, 487044)
