1024,46:NVIDIA GeForce RTX 4070, cross_warp: atomic_fa_relaxed
(1, 1, 205606)
(1, 2, 113628)
(1, 4, 60477.4)
(1, 8, 30907.5)
(1, 16, 26278.4)
(1, 32, 32328.1)
(1, 64, 33199.4)
(1, 128, 32124)
(1, 256, 32285.8)
(1, 512, 32307.8)
(1, 1024, 32489.8)
(2, 1, 173753)
(2, 2, 112485)
(2, 4, 59093.9)
(2, 8, 30352.8)
(2, 16, 26090)
(2, 32, 32218.6)
(2, 64, 33390.3)
(2, 128, 31822.5)
(2, 256, 32447.1)
(2, 512, 31659.3)
(2, 1024, 32150.1)
(4, 1, 167757)
(4, 2, 109656)
(4, 4, 57288)
(4, 8, 30070.3)
(4, 16, 25913.7)
(4, 32, 32440)
(4, 64, 33362.1)
(4, 128, 31495.1)
(4, 256, 32723.8)
(4, 512, 32074.3)
(4, 1024, 31852.6)
(8, 1, 149181)
(8, 2, 88567)
(8, 4, 54930.1)
(8, 8, 28340.3)
(8, 16, 25187.9)
(8, 32, 31872.2)
(8, 64, 33173.6)
(8, 128, 30931.8)
(8, 256, 32486.7)
(8, 512, 31844.7)
(8, 1024, 31580.8)
(16, 1, 103816)
(16, 2, 77017.6)
(16, 4, 43540.7)
(16, 8, 28517.5)
(16, 16, 25912.7)
(16, 32, 32272.9)
(16, 64, 33731.6)
(16, 128, 30856.2)
(16, 256, 32360.2)
(16, 512, 32578.6)
(16, 1024, 32458.2)
(32, 1, 82948.9)
(32, 2, 54167.4)
(32, 4, 40180.7)
(32, 8, 22856.1)
(32, 16, 23765.2)
(32, 32, 33162)
(32, 64, 33918.6)
(32, 128, 29756.7)
(32, 256, 31702.2)
(32, 512, 32420.4)
(32, 1024, 33461.9)
(64, 1, 47579.1)
(64, 2, 41301.8)
(64, 4, 27160.1)
(64, 8, 20050.5)
(64, 16, 19547.1)
(64, 32, 33188.4)
(64, 64, 35277)
(64, 128, 29143)
(64, 256, 31411.1)
(64, 512, 32542.3)
(64, 1024, 30900.1)
(128, 1, 37756.8)
(128, 2, 23735.2)
(128, 4, 20818.5)
(128, 8, 13798.5)
(128, 16, 17034.2)
(128, 32, 27209)
(128, 64, 35260.1)
(128, 128, 27214.1)
(128, 256, 30825.1)
(128, 512, 29513.6)
(128, 1024, 32231.1)
(256, 1, 19147.7)
(256, 2, 19792.2)
(256, 4, 11880.4)
(256, 8, 10397.5)
(256, 16, 11533.4)
(256, 32, 24578.5)
(256, 64, 27842.2)
(256, 128, 24497.4)
(256, 256, 27827.1)
(256, 512, 26112.1)
(256, 1024, 32197.2)
(512, 1, 16326.2)
(512, 2, 10216.1)
(512, 4, 10143.3)
(512, 8, 5944.31)
(512, 16, 8648.83)
(512, 32, 16122.1)
(512, 64, 23565.5)
(512, 128, 18879.3)
(512, 256, 23657.6)
(512, 512, 23578.8)
(512, 1024, 26748.6)
(1024, 1, 10544)
(1024, 2, 9154.56)
(1024, 4, 5289.08)
(1024, 8, 5139.21)
(1024, 16, 4954.89)
(1024, 32, 11797.4)
(1024, 64, 15479.1)
(1024, 128, 15471.2)
(1024, 256, 18307.5)
(1024, 512, 22579.7)
(1024, 1024, 18333)
