1024,46:NVIDIA GeForce RTX 4070, contiguous_access: atomic_cas_succeed_no_store
(1, 1, 711.111)
(1, 2, 113.763)
(1, 4, 113.748)
(1, 8, 113.741)
(1, 16, 113.727)
(1, 32, 113.687)
(1, 64, 113.687)
(1, 128, 113.722)
(1, 256, 113.709)
(1, 512, 113.734)
(1, 1024, 113.734)
(2, 1, 711.088)
(2, 2, 113.766)
(2, 4, 113.764)
(2, 8, 113.755)
(2, 16, 113.747)
(2, 32, 113.697)
(2, 64, 113.696)
(2, 128, 113.752)
(2, 256, 113.749)
(2, 512, 113.725)
(2, 1024, 113.749)
(4, 1, 558.501)
(4, 2, 113.742)
(4, 4, 113.765)
(4, 8, 113.761)
(4, 16, 113.759)
(4, 32, 113.758)
(4, 64, 113.758)
(4, 128, 113.748)
(4, 256, 113.758)
(4, 512, 113.761)
(4, 1024, 113.752)
(8, 1, 391.296)
(8, 2, 113.766)
(8, 4, 113.768)
(8, 8, 113.697)
(8, 16, 113.762)
(8, 32, 113.744)
(8, 64, 113.762)
(8, 128, 113.765)
(8, 256, 113.762)
(8, 512, 113.761)
(8, 1024, 113.763)
(16, 1, 227.501)
(16, 2, 113.77)
(16, 4, 113.767)
(16, 8, 113.765)
(16, 16, 113.764)
(16, 32, 113.765)
(16, 64, 113.742)
(16, 128, 113.755)
(16, 256, 113.768)
(16, 512, 113.765)
(16, 1024, 113.765)
(32, 1, 113.772)
(32, 2, 113.749)
(32, 4, 113.772)
(32, 8, 113.768)
(32, 16, 113.768)
(32, 32, 113.772)
(32, 64, 113.769)
(32, 128, 113.747)
(32, 256, 113.769)
(32, 512, 113.769)
(32, 1024, 113.737)
(64, 1, 113.769)
(64, 2, 113.772)
(64, 4, 113.752)
(64, 8, 113.769)
(64, 16, 113.77)
(64, 32, 113.77)
(64, 64, 113.772)
(64, 128, 113.769)
(64, 256, 113.757)
(64, 512, 113.769)
(64, 1024, 113.769)
(128, 1, 113.772)
(128, 2, 113.71)
(128, 4, 113.769)
(128, 8, 113.756)
(128, 16, 113.769)
(128, 32, 113.772)
(128, 64, 113.77)
(128, 128, 113.769)
(128, 256, 113.769)
(128, 512, 113.76)
(128, 1024, 113.772)
(256, 1, 113.761)
(256, 2, 113.772)
(256, 4, 113.77)
(256, 8, 113.769)
(256, 16, 113.773)
(256, 32, 113.77)
(256, 64, 113.765)
(256, 128, 113.737)
(256, 256, 113.77)
(256, 512, 113.741)
(256, 1024, 113.769)
(512, 1, 113.772)
(512, 2, 113.769)
(512, 4, 113.755)
(512, 8, 113.689)
(512, 16, 113.765)
(512, 32, 113.773)
(512, 64, 113.768)
(512, 128, 113.761)
(512, 256, 113.739)
(512, 512, 113.769)
(512, 1024, 113.686)
(1024, 1, 113.769)
(1024, 2, 113.767)
(1024, 4, 113.746)
(1024, 8, 113.769)
(1024, 16, 113.772)
(1024, 32, 113.741)
(1024, 64, 113.769)
(1024, 128, 113.77)
(1024, 256, 113.77)
(1024, 512, 113.773)
(1024, 1024, 113.733)
