1024,46:NVIDIA GeForce RTX 4070, contiguous_access: atomic_fa_relaxed
(1, 1, 823.888)
(1, 2, 113.771)
(1, 4, 113.771)
(1, 8, 113.75)
(1, 16, 113.76)
(1, 32, 113.757)
(1, 64, 113.757)
(1, 128, 113.757)
(1, 256, 113.759)
(1, 512, 113.742)
(1, 1024, 113.76)
(2, 1, 711.167)
(2, 2, 113.771)
(2, 4, 113.769)
(2, 8, 113.767)
(2, 16, 113.747)
(2, 32, 113.769)
(2, 64, 113.766)
(2, 128, 113.754)
(2, 256, 113.765)
(2, 512, 113.766)
(2, 1024, 113.747)
(4, 1, 558.588)
(4, 2, 113.771)
(4, 4, 113.773)
(4, 8, 113.74)
(4, 16, 113.773)
(4, 32, 113.744)
(4, 64, 113.77)
(4, 128, 113.772)
(4, 256, 113.77)
(4, 512, 113.772)
(4, 1024, 113.77)
(8, 1, 391.269)
(8, 2, 113.771)
(8, 4, 113.77)
(8, 8, 113.755)
(8, 16, 113.735)
(8, 32, 113.747)
(8, 64, 113.689)
(8, 128, 113.725)
(8, 256, 113.729)
(8, 512, 113.735)
(8, 1024, 113.721)
(16, 1, 227.525)
(16, 2, 113.602)
(16, 4, 113.716)
(16, 8, 113.742)
(16, 16, 113.739)
(16, 32, 113.77)
(16, 64, 113.771)
(16, 128, 113.773)
(16, 256, 113.77)
(16, 512, 113.773)
(16, 1024, 113.771)
(32, 1, 3640.41)
(32, 2, 3640.64)
(32, 4, 3640.64)
(32, 8, 3640.73)
(32, 16, 3640.64)
(32, 32, 3640.71)
(32, 64, 3639.52)
(32, 128, 3640.62)
(32, 256, 3640.51)
(32, 512, 3639.15)
(32, 1024, 3640.7)
(64, 1, 3640.46)
(64, 2, 3639.86)
(64, 4, 3640.15)
(64, 8, 3640.63)
(64, 16, 3639.89)
(64, 32, 3640.03)
(64, 64, 3640.19)
(64, 128, 3639.33)
(64, 256, 3639.39)
(64, 512, 3638.83)
(64, 1024, 3640.53)
(128, 1, 3640.72)
(128, 2, 3640.42)
(128, 4, 3639.54)
(128, 8, 3639.76)
(128, 16, 3640.5)
(128, 32, 3639.78)
(128, 64, 3640.47)
(128, 128, 3640.73)
(128, 256, 3640.64)
(128, 512, 3640.29)
(128, 1024, 3640.58)
(256, 1, 3640.31)
(256, 2, 3640.15)
(256, 4, 3639.44)
(256, 8, 3640.71)
(256, 16, 3640.62)
(256, 32, 3640.73)
(256, 64, 3640.63)
(256, 128, 3640.63)
(256, 256, 3640.6)
(256, 512, 3640.55)
(256, 1024, 3640.56)
(512, 1, 3640.62)
(512, 2, 3640.7)
(512, 4, 3640.62)
(512, 8, 3640.62)
(512, 16, 3640.62)
(512, 32, 3640.64)
(512, 64, 3640.72)
(512, 128, 3640.63)
(512, 256, 3639.5)
(512, 512, 3640.63)
(512, 1024, 3640.3)
(1024, 1, 3640.7)
(1024, 2, 3640.63)
(1024, 4, 3640.72)
(1024, 8, 3640.62)
(1024, 16, 3640.63)
(1024, 32, 3640.11)
(1024, 64, 3640.62)
(1024, 128, 3640.73)
(1024, 256, 3640.63)
(1024, 512, 3640.73)
(1024, 1024, 3640.63)
