1024,168:AMD Radeon RX 7900 XT, contiguous_access: atomic_fa_relaxed
(1, 1, 24890.353516)
(1, 2, 16638.861328)
(1, 4, 10169.322266)
(1, 8, 1845.912109)
(1, 16, 311.161163)
(1, 32, 206.084824)
(1, 64, 205.337524)
(1, 128, 124.151871)
(1, 256, 119.690720)
(1, 512, 113.073158)
(1, 1024, 113.848137)
(2, 1, 32869.175781)
(2, 2, 24043.404297)
(2, 4, 15808.412109)
(2, 8, 10151.135742)
(2, 16, 3159.364258)
(2, 32, 569.707275)
(2, 64, 565.110229)
(2, 128, 249.298599)
(2, 256, 248.352768)
(2, 512, 248.574432)
(2, 1024, 237.914322)
(4, 1, 36391.148438)
(4, 2, 31800.257812)
(4, 4, 22295.253906)
(4, 8, 14843.833984)
(4, 16, 9761.111328)
(4, 32, 5355.567383)
(4, 64, 6305.452637)
(4, 128, 655.709106)
(4, 256, 495.394623)
(4, 512, 528.898315)
(4, 1024, 531.901611)
(8, 1, 31880.146484)
(8, 2, 33225.542969)
(8, 4, 28834.869141)
(8, 8, 19764.714844)
(8, 16, 12853.867188)
(8, 32, 13373.955078)
(8, 64, 13880.228516)
(8, 128, 7144.733398)
(8, 256, 1249.366699)
(8, 512, 1221.165527)
(8, 1024, 1315.656006)
(16, 1, 25564.941406)
(16, 2, 23289.861328)
(16, 4, 26674.638672)
(16, 8, 25280.808594)
(16, 16, 15650.536133)
(16, 32, 15694.169922)
(16, 64, 17860.894531)
(16, 128, 12907.391602)
(16, 256, 7893.205566)
(16, 512, 7663.919922)
(16, 1024, 7679.020508)
(32, 1, 20715.056641)
(32, 2, 17735.294922)
(32, 4, 15602.439453)
(32, 8, 17636.814453)
(32, 16, 17117.230469)
(32, 32, 17214.402344)
(32, 64, 17642.794922)
(32, 128, 13246.534180)
(32, 256, 7903.294922)
(32, 512, 7922.173340)
(32, 1024, 7941.482910)
(64, 1, 19316.919922)
(64, 2, 20675.091797)
(64, 4, 17881.994141)
(64, 8, 15591.684570)
(64, 16, 17607.412109)
(64, 32, 18415.517578)
(64, 64, 17060.820312)
(64, 128, 11761.336914)
(64, 256, 8492.632812)
(64, 512, 8520.205078)
(64, 1024, 8562.504883)
(128, 1, 18425.904297)
(128, 2, 19571.361328)
(128, 4, 20656.810547)
(128, 8, 17814.185547)
(128, 16, 15600.913086)
(128, 32, 18643.425781)
(128, 64, 19370.791016)
(128, 128, 13958.336914)
(128, 256, 8808.121094)
(128, 512, 8754.541016)
(128, 1024, 8791.491211)
(256, 1, 15800.519531)
(256, 2, 18322.064453)
(256, 4, 19977.169922)
(256, 8, 20723.781250)
(256, 16, 17756.240234)
(256, 32, 16077.650391)
(256, 64, 19049.214844)
(256, 128, 14554.303711)
(256, 256, 9345.577148)
(256, 512, 9170.727539)
(256, 1024, 9245.503906)
(512, 1, 10151.395508)
(512, 2, 15943.475586)
(512, 4, 18442.976562)
(512, 8, 19590.404297)
(512, 16, 20648.000000)
(512, 32, 18082.833984)
(512, 64, 16134.306641)
(512, 128, 14341.421875)
(512, 256, 9783.911133)
(512, 512, 9714.375977)
(512, 1024, 9479.775391)
(1024, 1, 6508.379883)
(1024, 2, 10125.370117)
(1024, 4, 15764.095703)
(1024, 8, 18539.119141)
(1024, 16, 19537.261719)
(1024, 32, 20858.044922)
(1024, 64, 18011.357422)
(1024, 128, 11235.415039)
(1024, 256, 9923.035156)
(1024, 512, 10088.188477)
(1024, 1024, 9763.958984)
