1024,168:AMD Radeon RX 7900 XT, contiguous_access: atomic_cas_succeed_no_store
(1, 1, 24577.062500)
(1, 2, 16070.623047)
(1, 4, 9606.898438)
(1, 8, 1392.325073)
(1, 16, 276.816986)
(1, 32, 186.326950)
(1, 64, 188.773987)
(1, 128, 107.956032)
(1, 256, 111.560272)
(1, 512, 110.886711)
(1, 1024, 106.283524)
(2, 1, 32095.158203)
(2, 2, 22309.652344)
(2, 4, 14396.324219)
(2, 8, 8685.814453)
(2, 16, 2749.416016)
(2, 32, 527.961243)
(2, 64, 536.633728)
(2, 128, 241.773483)
(2, 256, 215.192200)
(2, 512, 229.872589)
(2, 1024, 230.718048)
(4, 1, 32927.152344)
(4, 2, 29194.412109)
(4, 4, 19357.996094)
(4, 8, 11942.741211)
(4, 16, 8673.421875)
(4, 32, 3539.412598)
(4, 64, 4564.418457)
(4, 128, 706.758789)
(4, 256, 482.137939)
(4, 512, 481.158905)
(4, 1024, 506.129761)
(8, 1, 23486.244141)
(8, 2, 25957.394531)
(8, 4, 24323.855469)
(8, 8, 14624.807617)
(8, 16, 11947.469727)
(8, 32, 8674.252930)
(8, 64, 8716.447266)
(8, 128, 6773.763184)
(8, 256, 1393.138184)
(8, 512, 1341.178345)
(8, 1024, 1299.658691)
(16, 1, 16010.637695)
(16, 2, 15326.740234)
(16, 4, 17405.351562)
(16, 8, 16558.093750)
(16, 16, 14776.794922)
(16, 32, 11972.477539)
(16, 64, 12434.916992)
(16, 128, 10004.278320)
(16, 256, 6819.158691)
(16, 512, 6822.386230)
(16, 1024, 6661.151367)
(32, 1, 16996.845703)
(32, 2, 15961.451172)
(32, 4, 15097.958984)
(32, 8, 17213.574219)
(32, 16, 16216.792969)
(32, 32, 14530.168945)
(32, 64, 14600.953125)
(32, 128, 11900.564453)
(32, 256, 7820.504395)
(32, 512, 7889.458984)
(32, 1024, 7948.519043)
(64, 1, 16523.955078)
(64, 2, 16937.849609)
(64, 4, 15931.828125)
(64, 8, 15101.193359)
(64, 16, 17226.021484)
(64, 32, 16256.835938)
(64, 64, 15182.804688)
(64, 128, 11665.146484)
(64, 256, 8400.077148)
(64, 512, 8444.151367)
(64, 1024, 8511.502930)
(128, 1, 16610.373047)
(128, 2, 16468.351562)
(128, 4, 16954.140625)
(128, 8, 16036.833008)
(128, 16, 15112.963867)
(128, 32, 17245.347656)
(128, 64, 16952.058594)
(128, 128, 13237.834961)
(128, 256, 8720.954102)
(128, 512, 8750.397461)
(128, 1024, 8780.387695)
(256, 1, 14360.418945)
(256, 2, 16621.277344)
(256, 4, 16415.089844)
(256, 8, 16932.205078)
(256, 16, 15970.724609)
(256, 32, 15122.291992)
(256, 64, 17055.730469)
(256, 128, 13529.382812)
(256, 256, 8819.561523)
(256, 512, 8890.033203)
(256, 1024, 8940.135742)
(512, 1, 9177.045898)
(512, 2, 14344.045898)
(512, 4, 16619.330078)
(512, 8, 16420.347656)
(512, 16, 16973.671875)
(512, 32, 16031.317383)
(512, 64, 15091.080078)
(512, 128, 13473.299805)
(512, 256, 9004.206055)
(512, 512, 9104.048828)
(512, 1024, 9038.961914)
(1024, 1, 5880.602539)
(1024, 2, 9228.396484)
(1024, 4, 14380.678711)
(1024, 8, 16629.541016)
(1024, 16, 16459.255859)
(1024, 32, 16951.669922)
(1024, 64, 15805.212891)
(1024, 128, 10931.930664)
(1024, 256, 9098.868164)
(1024, 512, 9117.535156)
(1024, 1024, 9231.220703)
