1024,168:AMD Radeon RX 7900 XT, contiguous_access: atomic_exchange
(1, 1, 25167.283203)
(1, 2, 16694.687500)
(1, 4, 10149.068359)
(1, 8, 1709.899780)
(1, 16, 540.534485)
(1, 32, 402.021912)
(1, 64, 398.997559)
(1, 128, 227.693237)
(1, 256, 196.810440)
(1, 512, 196.691055)
(1, 1024, 196.614792)
(2, 1, 33197.109375)
(2, 2, 24440.808594)
(2, 4, 15823.310547)
(2, 8, 9643.008789)
(2, 16, 3045.997314)
(2, 32, 912.582214)
(2, 64, 891.071960)
(2, 128, 452.993378)
(2, 256, 404.159119)
(2, 512, 404.774353)
(2, 1024, 404.968231)
(4, 1, 37009.125000)
(4, 2, 32086.705078)
(4, 4, 22536.880859)
(4, 8, 14285.519531)
(4, 16, 8755.690430)
(4, 32, 3869.427246)
(4, 64, 4207.994629)
(4, 128, 1026.917969)
(4, 256, 846.233093)
(4, 512, 845.490845)
(4, 1024, 850.455872)
(8, 1, 31449.798828)
(8, 2, 32849.433594)
(8, 4, 29417.550781)
(8, 8, 19082.986328)
(8, 16, 11812.851562)
(8, 32, 8745.747070)
(8, 64, 8781.455078)
(8, 128, 5917.103027)
(8, 256, 1855.422852)
(8, 512, 1844.189209)
(8, 1024, 1919.555176)
(16, 1, 25772.097656)
(16, 2, 23586.101562)
(16, 4, 26770.740234)
(16, 8, 24158.402344)
(16, 16, 14958.549805)
(16, 32, 11781.147461)
(16, 64, 12933.320312)
(16, 128, 10025.496094)
(16, 256, 6997.709961)
(16, 512, 6688.984375)
(16, 1024, 6759.610840)
(32, 1, 20949.419922)
(32, 2, 17909.250000)
(32, 4, 15888.664062)
(32, 8, 18710.789062)
(32, 16, 17626.777344)
(32, 32, 14822.954102)
(32, 64, 14972.762695)
(32, 128, 12243.402344)
(32, 256, 8040.340332)
(32, 512, 8051.770020)
(32, 1024, 8001.583984)
(64, 1, 19696.441406)
(64, 2, 20819.865234)
(64, 4, 17884.388672)
(64, 8, 15716.592773)
(64, 16, 18473.017578)
(64, 32, 17537.560547)
(64, 64, 16388.320312)
(64, 128, 11555.234375)
(64, 256, 8704.414062)
(64, 512, 8667.262695)
(64, 1024, 8719.620117)
(128, 1, 18580.017578)
(128, 2, 19649.097656)
(128, 4, 20716.605469)
(128, 8, 17857.138672)
(128, 16, 15802.833008)
(128, 32, 18545.929688)
(128, 64, 19106.109375)
(128, 128, 14166.736328)
(128, 256, 9155.041016)
(128, 512, 9066.884766)
(128, 1024, 9087.239258)
(256, 1, 15823.651367)
(256, 2, 18706.398438)
(256, 4, 19940.992188)
(256, 8, 20724.546875)
(256, 16, 17910.285156)
(256, 32, 15684.155273)
(256, 64, 19126.246094)
(256, 128, 14438.264648)
(256, 256, 9527.537109)
(256, 512, 9321.365234)
(256, 1024, 9300.921875)
(512, 1, 10131.613281)
(512, 2, 16084.528320)
(512, 4, 18603.150391)
(512, 8, 19636.740234)
(512, 16, 20687.130859)
(512, 32, 17780.099609)
(512, 64, 16006.756836)
(512, 128, 14062.572266)
(512, 256, 9785.721680)
(512, 512, 9764.033203)
(512, 1024, 9499.311523)
(1024, 1, 6472.645996)
(1024, 2, 10106.601562)
(1024, 4, 16030.186523)
(1024, 8, 18526.619141)
(1024, 16, 20052.826172)
(1024, 32, 20687.027344)
(1024, 64, 17889.400391)
(1024, 128, 11097.615234)
(1024, 256, 9874.461914)
(1024, 512, 9871.162109)
(1024, 1024, 9799.560547)
