1024,168:AMD Radeon RX 7900 XT, contiguous_access: atomic_fa_relaxed
(1, 1, 24868.978516)
(1, 2, 16639.863281)
(1, 4, 10176.074219)
(1, 8, 1619.720459)
(1, 16, 313.417816)
(1, 32, 205.485092)
(1, 64, 205.404968)
(1, 128, 124.727715)
(1, 256, 119.924629)
(1, 512, 113.138878)
(1, 1024, 113.518082)
(2, 1, 32935.363281)
(2, 2, 23952.818359)
(2, 4, 15847.430664)
(2, 8, 10059.836914)
(2, 16, 2801.055908)
(2, 32, 575.464600)
(2, 64, 570.713745)
(2, 128, 249.812454)
(2, 256, 248.433533)
(2, 512, 248.671585)
(2, 1024, 237.941864)
(4, 1, 36258.593750)
(4, 2, 31681.724609)
(4, 4, 22252.660156)
(4, 8, 14885.750977)
(4, 16, 9701.813477)
(4, 32, 4945.704590)
(4, 64, 6365.365234)
(4, 128, 656.067932)
(4, 256, 495.029663)
(4, 512, 528.905701)
(4, 1024, 531.661194)
(8, 1, 31896.347656)
(8, 2, 33122.039062)
(8, 4, 28965.234375)
(8, 8, 19850.058594)
(8, 16, 12901.626953)
(8, 32, 13330.182617)
(8, 64, 13948.577148)
(8, 128, 7392.336426)
(8, 256, 1248.386719)
(8, 512, 1230.144897)
(8, 1024, 1319.625122)
(16, 1, 25637.283203)
(16, 2, 23146.955078)
(16, 4, 26706.339844)
(16, 8, 25199.500000)
(16, 16, 15685.710938)
(16, 32, 15713.170898)
(16, 64, 17864.671875)
(16, 128, 12908.888672)
(16, 256, 7914.066406)
(16, 512, 7654.927246)
(16, 1024, 5996.072266)
(32, 1, 20815.529297)
(32, 2, 17787.279297)
(32, 4, 15555.362305)
(32, 8, 17606.591797)
(32, 16, 17063.265625)
(32, 32, 17093.765625)
(32, 64, 17681.537109)
(32, 128, 13228.791016)
(32, 256, 7923.903320)
(32, 512, 7933.033203)
(32, 1024, 7969.835449)
(64, 1, 19528.019531)
(64, 2, 20798.302734)
(64, 4, 17822.412109)
(64, 8, 15564.865234)
(64, 16, 17734.527344)
(64, 32, 18389.757812)
(64, 64, 17018.044922)
(64, 128, 11734.530273)
(64, 256, 8503.024414)
(64, 512, 8513.021484)
(64, 1024, 8578.603516)
(128, 1, 18831.902344)
(128, 2, 19689.212891)
(128, 4, 20752.828125)
(128, 8, 17857.701172)
(128, 16, 15603.000977)
(128, 32, 18744.003906)
(128, 64, 19320.412109)
(128, 128, 13996.019531)
(128, 256, 8802.076172)
(128, 512, 8762.833008)
(128, 1024, 8847.029297)
(256, 1, 16033.723633)
(256, 2, 18683.607422)
(256, 4, 20120.582031)
(256, 8, 20735.470703)
(256, 16, 17855.740234)
(256, 32, 16037.243164)
(256, 64, 19144.134766)
(256, 128, 14462.310547)
(256, 256, 9381.528320)
(256, 512, 9147.720703)
(256, 1024, 9244.913086)
(512, 1, 10023.025391)
(512, 2, 15901.284180)
(512, 4, 18812.230469)
(512, 8, 19961.080078)
(512, 16, 20743.820312)
(512, 32, 18037.496094)
(512, 64, 16173.616211)
(512, 128, 14209.541992)
(512, 256, 9758.024414)
(512, 512, 9781.772461)
(512, 1024, 9469.150391)
(1024, 1, 6511.555664)
(1024, 2, 10060.500977)
(1024, 4, 15708.402344)
(1024, 8, 18391.759766)
(1024, 16, 19777.052734)
(1024, 32, 20881.867188)
(1024, 64, 17821.632812)
(1024, 128, 11210.247070)
(1024, 256, 9915.477539)
(1024, 512, 9970.216797)
(1024, 1024, 9855.066406)
