256,168:AMD Radeon RX 7900 XT, contiguous_access: local_atomic_fa_relaxed
(1, 1, 44002.167969)
(1, 2, 45327.867188)
(1, 4, 45386.496094)
(1, 8, 44926.667969)
(2, 1, 36135.742188)
(2, 2, 41297.074219)
(2, 4, 45427.859375)
(2, 8, 45135.859375)
(4, 1, 36138.898438)
(4, 2, 36802.179688)
(4, 4, 38911.941406)
(4, 8, 45161.968750)
(8, 1, 36180.996094)
(8, 2, 35559.585938)
(8, 4, 36026.839844)
(8, 8, 37832.492188)
(16, 1, 36281.035156)
(16, 2, 35810.582031)
(16, 4, 36443.371094)
(16, 8, 35834.027344)
(32, 1, 35543.957031)
(32, 2, 35623.667969)
(32, 4, 36096.000000)
(32, 8, 35130.636719)
(64, 1, 35289.187500)
(64, 2, 34946.898438)
(64, 4, 35492.113281)
(64, 8, 34974.875000)
(128, 1, 35051.812500)
(128, 2, 35778.292969)
(128, 4, 36084.792969)
(128, 8, 34509.238281)
(256, 1, 35051.187500)
(256, 2, 34958.824219)
(256, 4, 34962.019531)
(256, 8, 34660.480469)
