1024,168:AMD Radeon RX 7900 XT, cross_warp: atomic_fa_relaxed
(1, 1, 24931.111328)
(1, 2, 16661.095703)
(1, 4, 10157.726562)
(1, 8, 1855.127441)
(1, 16, 311.094574)
(1, 32, 205.806702)
(1, 64, 205.551483)
(1, 128, 124.530060)
(1, 256, 119.971497)
(1, 512, 113.022552)
(1, 1024, 113.102837)
(2, 1, 32502.500000)
(2, 2, 23996.406250)
(2, 4, 16186.987305)
(2, 8, 9705.525391)
(2, 16, 1207.136719)
(2, 32, 327.858948)
(2, 64, 326.504730)
(2, 128, 143.287857)
(2, 256, 124.831062)
(2, 512, 117.769569)
(2, 1024, 118.751266)
(4, 1, 38139.382812)
(4, 2, 30908.628906)
(4, 4, 23069.876953)
(4, 8, 15075.642578)
(4, 16, 8842.046875)
(4, 32, 1744.719604)
(4, 64, 1820.782837)
(4, 128, 273.414154)
(4, 256, 174.651352)
(4, 512, 167.225098)
(4, 1024, 166.446182)
(8, 1, 41845.242188)
(8, 2, 35862.667969)
(8, 4, 29382.904297)
(8, 8, 20696.367188)
(8, 16, 13105.484375)
(8, 32, 12249.455078)
(8, 64, 12316.034180)
(8, 128, 1007.997559)
(8, 256, 246.852875)
(8, 512, 238.899994)
(8, 1024, 239.727585)
(16, 1, 44245.402344)
(16, 2, 39255.246094)
(16, 4, 33570.144531)
(16, 8, 25543.181641)
(16, 16, 17191.839844)
(16, 32, 16570.349609)
(16, 64, 16571.771484)
(16, 128, 12606.891602)
(16, 256, 848.012756)
(16, 512, 770.979431)
(16, 1024, 559.141052)
(32, 1, 45237.238281)
(32, 2, 40726.605469)
(32, 4, 36581.636719)
(32, 8, 28223.494141)
(32, 16, 20353.275391)
(32, 32, 20007.037109)
(32, 64, 20045.683594)
(32, 128, 14455.814453)
(32, 256, 9200.436523)
(32, 512, 9181.899414)
(32, 1024, 2616.967285)
(64, 1, 45647.796875)
(64, 2, 42127.152344)
(64, 4, 37582.859375)
(64, 8, 29994.859375)
(64, 16, 21861.703125)
(64, 32, 21841.775391)
(64, 64, 22328.806641)
(64, 128, 15576.873047)
(64, 256, 9642.712891)
(64, 512, 9610.168945)
(64, 1024, 9602.351562)
(128, 1, 45329.027344)
(128, 2, 42889.882812)
(128, 4, 38648.816406)
(128, 8, 30710.966797)
(128, 16, 22727.558594)
(128, 32, 23716.671875)
(128, 64, 23329.177734)
(128, 128, 16066.010742)
(128, 256, 9863.145508)
(128, 512, 9828.277344)
(128, 1024, 9831.994141)
(256, 1, 45187.539062)
(256, 2, 41549.359375)
(256, 4, 37691.917969)
(256, 8, 31593.099609)
(256, 16, 22700.486328)
(256, 32, 22983.466797)
(256, 64, 23396.093750)
(256, 128, 16102.204102)
(256, 256, 9926.280273)
(256, 512, 9928.077148)
(256, 1024, 9924.788086)
(512, 1, 41716.992188)
(512, 2, 42324.769531)
(512, 4, 35875.328125)
(512, 8, 30862.187500)
(512, 16, 23595.210938)
(512, 32, 22590.763672)
(512, 64, 23213.664062)
(512, 128, 15969.816406)
(512, 256, 9792.600586)
(512, 512, 10019.285156)
(512, 1024, 10019.922852)
(1024, 1, 34367.417969)
(1024, 2, 36452.628906)
(1024, 4, 36378.515625)
(1024, 8, 27934.447266)
(1024, 16, 22289.515625)
(1024, 32, 23769.609375)
(1024, 64, 22763.613281)
(1024, 128, 15649.050781)
(1024, 256, 9997.499023)
(1024, 512, 9647.390625)
(1024, 1024, 9849.869141)
