256,64:Intel(R) Arc(tm) A770 Graphics (DG2), contiguous_access: local_atomic_fa_relaxed
(1, 1, 8867.492188)
(1, 2, 7896.751953)
(1, 4, 5603.632812)
(1, 8, 3466.742920)
(2, 1, 2485.934570)
(2, 2, 4235.804199)
(2, 4, 7908.471191)
(2, 8, 5538.984863)
(4, 1, 2537.947510)
(4, 2, 2502.200439)
(4, 4, 3237.115967)
(4, 8, 7904.201172)
(8, 1, 2523.463867)
(8, 2, 2560.513672)
(8, 4, 2496.303467)
(8, 8, 2940.928223)
(16, 1, 2524.247070)
(16, 2, 2555.686768)
(16, 4, 2525.798828)
(16, 8, 2526.086426)
(32, 1, 2540.055176)
(32, 2, 2582.005859)
(32, 4, 2539.354248)
(32, 8, 2542.281982)
(64, 1, 2576.000488)
(64, 2, 2576.977295)
(64, 4, 2575.325195)
(64, 8, 2525.923340)
(128, 1, 2594.631104)
(128, 2, 2564.422363)
(128, 4, 2556.112305)
(128, 8, 2566.967285)
(256, 1, 2550.774902)
(256, 2, 2555.586426)
(256, 4, 2561.166748)
(256, 8, 2540.069580)
