256,46:NVIDIA GeForce RTX 4070, contiguous_access: local_atomic_fa_relaxed
(1, 1, 8569.826172)
(1, 2, 1704.738892)
(1, 4, 1710.415894)
(1, 8, 1696.031494)
(2, 1, 9419.469727)
(2, 2, 3181.766602)
(2, 4, 3127.170898)
(2, 8, 3212.892334)
(4, 1, 9511.490234)
(4, 2, 5168.132812)
(4, 4, 5742.526855)
(4, 8, 5769.313477)
(8, 1, 9519.862305)
(8, 2, 8641.470703)
(8, 4, 8618.875000)
(8, 8, 8760.107422)
(16, 1, 9467.976562)
(16, 2, 9489.744141)
(16, 4, 9530.722656)
(16, 8, 9445.152344)
(32, 1, 9466.714844)
(32, 2, 9488.950195)
(32, 4, 9471.670898)
(32, 8, 9499.693359)
(64, 1, 9478.292969)
(64, 2, 9509.833984)
(64, 4, 9511.914062)
(64, 8, 9506.668945)
(128, 1, 9448.356445)
(128, 2, 9485.415039)
(128, 4, 9467.858398)
(128, 8, 9548.583008)
(256, 1, 9479.554688)
(256, 2, 9477.121094)
(256, 4, 9535.894531)
(256, 8, 9496.317383)
